Hour,AvgPlayers
0,25634.622119815667
1,25464.235023041474
2,26027.119815668204
3,26061.511520737327
4,25388.41935483871
5,24531.14807987711
6,23491.461904761905
7,22509.633333333335
8,21955.514285714286
9,21707.27142857143
10,22781.619047619046
11,25950.10476190476
12,30033.02380952381
13,33330.91904761905
14,34549.89047619048
15,34407.21428571428
16,32946.433333333334
17,31506.81904761905
18,31409.10476190476
19,31955.57619047619
20,32134.823809523812
21,31577.309523809523
22,29888.066666666666
23,27560.25238095238
