Hour,AvgPlayers
0,18037.981566820275
1,17010.783410138247
2,17312.09216589862
3,17236.594470046082
4,16377.617511520737
5,15096.082949308755
6,13782.809523809525
7,12745.52380952381
8,12736.54761904762
9,13485.509523809525
10,14804.966666666667
11,16691.64285714286
12,18998.738095238095
13,21152.95238095238
14,22657.709523809524
15,23117.371428571427
16,22946.823809523812
17,22708.509523809524
18,23029.69523809524
19,24049.061904761904
20,24609.428571428572
21,24339.542857142857
22,22864.295238095237
23,20365.142857142855
