Hour,AvgPlayers
0,43695.179723502304
1,45854.645161290326
2,50247.308755760365
3,53073.921658986175
4,57601.97235023042
5,63714.84124423963
6,70023.26190476191
7,74211.30952380953
8,75395.31428571428
9,73569.48095238095
10,73663.18095238095
11,91826.41904761904
12,116969.78095238096
13,133063.12857142856
14,135283.11904761905
15,123609.87142857142
16,99944.84285714287
17,82026.05238095237
18,70850.50476190475
19,64406.795238095234
20,60257.2619047619
21,56400.1
22,52026.32380952381
23,47065.75714285715
