Hour,AvgPlayers
0,22737.08755760369
1,22123.235023041474
2,22317.94930875576
3,22517.672811059907
4,22690.79262672811
5,22892.254070660525
6,22753.657142857144
7,22874.89523809524
8,23484.704761904763
9,24358.319047619047
10,26341.142857142855
11,29602.357142857145
12,33192.76666666667
13,36030.84761904762
14,37127.67619047619
15,37044.15714285714
16,35359.32380952381
17,33460.171428571426
18,32179.109523809522
19,31129.071428571428
20,30074.17142857143
21,28618.309523809523
22,26734.0
23,24583.690476190477
