Hour,AvgPlayers
0,9410.806451612903
1,9092.036866359447
2,8803.345622119816
3,8382.3732718894
4,7769.230414746543
5,7022.662826420891
6,6065.585714285714
7,5217.161904761904
8,4554.061904761906
9,4136.528571428572
10,4161.495238095238
11,4400.72380952381
12,4765.347619047619
13,5258.780952380953
14,5876.842857142857
15,6623.957142857143
16,7445.638095238095
17,8279.557142857144
18,9157.561904761906
19,10018.690476190475
20,10612.842857142856
21,10785.257142857145
22,10540.0
23,10006.685714285713
