Hour,AvgPlayers
0,35999.11520737327
1,35609.253456221195
2,35896.755760368666
3,35791.83870967742
4,34663.14285714286
5,32769.75883256528
6,29610.466666666667
7,26214.214285714283
8,23621.25238095238
9,21990.933333333334
10,21866.942857142854
11,23072.614285714284
12,24735.142857142855
13,26834.642857142855
14,29188.885714285716
15,31016.22857142857
16,32242.51904761905
17,33501.10952380952
18,34841.54285714286
19,36373.55238095238
20,37526.48095238095
21,38177.928571428565
22,38138.32857142857
23,37424.79047619048
