Hour,AvgPlayers
0,75845.29032258065
1,74899.79723502304
2,76505.06451612903
3,76432.03225806452
4,73380.37788018433
5,67752.4158986175
6,60555.166666666664
7,53753.31904761904
8,49054.75238095238
9,46796.75238095238
10,48666.933333333334
11,53599.280952380956
12,60537.44761904762
13,67847.01904761905
14,73372.11904761904
15,75721.10476190476
16,76623.21428571429
17,78464.73333333334
18,82135.73809523809
19,87468.44285714286
20,91450.40476190476
21,91963.56190476191
22,89223.14285714287
23,82477.76666666666
