Hour,AvgPlayers
0,92525.88940092166
1,95609.35483870968
2,95469.96774193548
3,93292.57142857142
4,96317.0737327189
5,95432.1658986175
6,94876.24761904762
7,97811.65714285715
8,97078.21428571429
9,96030.37142857142
10,98374.70476190475
11,98457.45238095238
12,96777.87619047619
13,99701.04761904762
14,99769.42857142858
15,97986.51904761905
16,99876.38571428572
17,98996.11904761904
18,96034.76666666666
19,97187.00952380952
20,97890.34285714287
21,95336.84285714287
22,96841.72857142858
23,95396.90952380953
