Hour,AvgPlayers
0,17965.79262672811
1,17095.317972350233
2,16370.244239631336
3,15362.63594470046
4,14022.327188940091
5,12587.807219662058
6,11334.852380952381
7,10657.614285714286
8,11256.05238095238
9,12533.666666666666
10,14130.790476190476
11,15609.495238095238
12,17097.72857142857
13,18630.51904761905
14,20094.438095238096
15,21627.557142857146
16,23150.361904761907
17,24466.166666666668
18,25170.09523809524
19,25249.80476190476
20,24678.852380952383
21,23253.757142857143
22,21313.22380952381
23,19390.48095238095
