Hour,AvgPlayers
0,19763.10138248848
1,19054.483870967742
2,18476.967741935485
3,17970.705069124426
4,17409.83410138249
5,17014.390168970815
6,16629.757142857143
7,16365.15238095238
8,16701.64761904762
9,16977.390476190478
10,17129.97142857143
11,18068.714285714283
12,19045.442857142854
13,20540.547619047622
14,21560.852380952383
15,22213.09047619048
16,22654.77142857143
17,23008.038095238095
18,23149.704761904763
19,22998.219047619048
20,22663.40952380952
21,22228.02380952381
22,21681.690476190477
23,20827.07619047619
