Hour,AvgPlayers
0,15687.087557603685
1,14916.239631336406
2,14561.728110599079
3,14200.456221198156
4,13548.940092165898
5,12726.02534562212
6,11937.733333333334
7,11428.9
8,11500.538095238095
9,12012.861904761905
10,12767.228571428572
11,13554.580952380953
12,14433.94761904762
13,15445.195238095239
14,16416.342857142856
15,17289.842857142856
16,17991.142857142855
17,18408.938095238096
18,18712.90952380952
19,19005.704761904763
20,19132.61904761905
21,19000.27142857143
22,18279.571428571428
23,16953.652380952382
