Hour,AvgPlayers
0,12270.47465437788
1,12042.456221198156
2,11894.557603686637
3,11723.89861751152
4,11486.824884792626
5,11239.278033794162
6,11011.585714285715
7,10876.414285714285
8,10967.219047619048
9,11228.2
10,11603.914285714285
11,12002.342857142858
12,12324.161904761906
13,12599.223809523808
14,12792.042857142858
15,12913.8
16,12974.852380952381
17,13059.52380952381
18,13150.785714285714
19,13199.485714285714
20,13156.714285714286
21,13037.790476190476
22,12809.02380952381
23,12597.738095238095
