Hour,AvgPlayers
0,37084.811059907835
1,37443.8064516129
2,37959.47926267281
3,38471.45161290323
4,39038.42857142857
5,38685.37880184332
6,39290.219047619044
7,39725.18571428571
8,40212.47619047619
9,39974.82857142857
10,40272.81428571429
11,40689.52380952381
12,41160.04761904762
13,41488.8380952381
14,41888.45714285714
15,42296.061904761904
16,42532.32380952381
17,42588.00476190476
18,42064.833333333336
19,41992.280952380956
20,42303.32857142857
21,41837.74761904762
22,40650.014285714286
23,39633.01904761905
