Hour,AvgPlayers
0,18455.345622119818
1,16896.774193548386
2,16154.99539170507
3,15744.672811059909
4,15132.746543778801
5,14463.854070660524
6,13650.29523809524
7,12990.809523809525
8,13246.109523809524
9,14159.857142857141
10,15579.438095238094
11,17203.290476190476
12,18940.97619047619
13,20650.62380952381
14,21926.990476190476
15,22506.11904761905
16,22713.780952380952
17,22866.18095238095
18,23035.52857142857
19,23391.357142857145
20,23728.690476190477
21,23610.18095238095
22,22661.80476190476
23,20717.214285714283
