Hour,AvgPlayers
0,657523.529953917
1,598217.8940092166
2,595701.6405529954
3,604403.6912442397
4,643457.3456221197
5,697036.2534562212
6,766541.8523809523
7,836676.2238095237
8,893354.319047619
9,903749.7238095237
10,940408.8095238096
11,1113482.4952380953
12,1323243.5428571429
13,1462535.3714285714
14,1483578.0714285714
15,1403973.7047619047
16,1242522.1333333333
17,1146073.0571428572
18,1107358.5666666667
19,1083327.3904761905
20,1052878.5333333334
21,985094.1666666666
22,886400.5619047619
23,768778.7904761904
