Hour,AvgPlayers
0,10702.728110599079
1,11232.36405529954
2,11853.433179723503
3,12252.009216589862
4,12597.437788018433
5,12793.78801843318
6,12748.766666666666
7,12554.785714285714
8,12318.3
9,12022.938095238094
10,11836.995238095238
11,12967.70476190476
12,14287.857142857141
13,15304.142857142859
14,16058.228571428572
15,15853.661904761906
16,14662.519047619047
17,13397.428571428572
18,12280.12380952381
19,11595.619047619048
20,11827.252380952381
21,11762.938095238094
22,11221.2
23,10899.076190476191
