Hour,AvgPlayers
0,42916.02764976958
1,38777.49769585254
2,35555.56221198157
3,32682.539170506912
4,30431.921658986175
5,28279.85253456221
6,26894.91904761905
7,26538.31904761905
8,27809.366666666665
9,30366.757142857143
10,33497.55714285714
11,36855.96666666667
12,40389.37142857143
13,43950.6619047619
14,47441.08095238095
15,50967.34761904762
16,54096.566666666666
17,56802.438095238096
18,58939.84285714286
19,59924.55714285714
20,59561.34761904762
21,56990.509523809524
22,53386.80952380952
23,48018.37619047619
