Hour,AvgPlayers
0,30155.470046082948
1,29404.520737327188
2,29733.396313364054
3,29685.525345622118
4,28994.8064516129
5,28065.65960061444
6,26711.914285714283
7,25405.07619047619
8,24306.01904761905
9,23516.890476190478
10,24448.466666666667
11,28390.176190476188
12,33650.666666666664
13,38085.166666666664
14,39624.84285714286
15,39376.2380952381
16,37597.58095238095
17,36734.46666666667
18,36853.00476190476
19,37560.99523809524
20,37786.590476190475
21,37161.59523809524
22,35239.95714285714
23,32490.009523809524
