Hour,AvgPlayers
0,13347.797235023041
1,12437.21198156682
2,12226.99539170507
3,12266.824884792626
4,12037.534562211982
5,11444.027649769585
6,10451.223809523808
7,9443.157142857142
8,8722.614285714286
9,8676.395238095238
10,9283.466666666667
11,10259.671428571428
12,11380.657142857142
13,12624.342857142858
14,13622.480952380953
15,14488.480952380953
16,15359.438095238094
17,16366.128571428571
18,17403.757142857143
19,18327.128571428573
20,18736.40476190476
21,18293.3
22,17029.58095238095
23,15147.609523809524
