Hour,AvgPlayers
0,63449.995391705066
1,59937.5069124424
2,59082.59447004608
3,58466.290322580644
4,57529.39170506913
5,57028.077649769584
6,55890.52380952381
7,55822.74285714285
8,57096.22857142857
9,59276.73333333333
10,64430.642857142855
11,73358.94285714286
12,85167.43333333333
13,96159.5142857143
14,101857.36190476191
15,102257.96666666666
16,98922.65238095238
17,93582.9238095238
18,88908.4857142857
19,85703.5142857143
20,84155.01904761905
21,81354.09047619047
22,76504.1
23,69717.99523809523
