Hour,AvgPlayers
0,18816.677419354837
1,19024.84331797235
2,19532.211981566823
3,19578.341013824887
4,18930.682027649767
5,17918.235023041474
6,16469.128571428573
7,14956.576190476191
8,13753.680952380953
9,12959.290476190476
10,13275.942857142858
11,14772.871428571429
12,16554.69523809524
13,18026.157142857144
14,18636.928571428572
15,18636.152380952382
16,18173.542857142857
17,19085.61904761905
18,20222.947619047616
19,20944.41904761905
20,21345.233333333334
21,21252.190476190477
22,20643.357142857145
23,19611.92380952381
