Hour,AvgPlayers
0,17689.10138248848
1,19940.25806451613
2,23316.331797235023
3,25937.382488479263
4,28848.7465437788
5,33172.5910906298
6,36912.99523809524
7,39598.0380952381
8,41010.485714285714
9,40888.9619047619
10,40307.11428571429
11,45952.75238095238
12,53466.22380952381
13,58644.62857142857
14,59359.51904761905
15,55422.59523809524
16,44715.96666666667
17,34570.31904761905
18,28716.866666666665
19,25332.75238095238
20,23139.157142857144
21,21445.233333333334
22,19925.457142857143
23,18447.95238095238
