Hour,AvgPlayers
0,345307.069124424
1,314117.73732718895
2,306679.92165898613
3,308380.57603686635
4,310019.9769585253
5,315441.8513824885
6,326893.019047619
7,349357.11904761905
8,376079.0571428572
9,400694.4095238095
10,439295.8476190476
11,495691.84285714285
12,558310.7952380952
13,613727.8714285714
14,643176.619047619
15,649229.9666666667
16,639601.8285714287
17,620192.0333333333
18,604359.9523809523
19,585479.1952380952
20,560172.080952381
21,517022.2095238095
22,459815.3
23,398947.08571428567
