Hour,AvgPlayers
0,19198.95238095238
1,19144.955357142855
2,25280.785714285714
3,30538.607142857145
4,33850.92857142857
5,31150.640000000003
6,28794.390476190474
7,29935.228571428568
8,30761.42857142857
9,30917.685714285715
10,30724.914285714283
11,28981.039682539686
12,32554.690476190473
13,36153.857142857145
14,38291.880952380954
15,37286.666666666664
16,33100.39285714286
17,41975.52380952381
18,32957.047619047626
19,26295.714285714286
20,22038.285714285714
21,19587.0
22,18388.714285714286
23,18087.14285714286
