Hour,AvgPlayers
0,15374.193548387097
1,13823.179723502304
2,13033.58525345622
3,12657.769585253456
4,12155.391705069123
5,11723.281105990782
6,11209.528571428573
7,11116.433333333332
8,11777.428571428572
9,12885.12380952381
10,14412.3
11,16049.5
12,17633.542857142857
13,18999.82857142857
14,19991.761904761905
15,20349.22380952381
16,20366.161904761906
17,20253.509523809524
18,20408.67142857143
19,20763.061904761904
20,20935.057142857146
21,20712.87619047619
22,19645.990476190476
23,17633.838095238094
