Hour,AvgPlayers
0,27434.700460829496
1,22021.91705069124
2,18512.42396313364
3,16345.36866359447
4,14729.78801843318
5,14556.543010752688
6,15803.066666666668
7,18608.2
8,23070.30476190476
9,28506.661904761906
10,34506.21428571428
11,40390.561904761904
12,46025.58571428571
13,50496.60952380952
14,53352.29047619048
15,54575.6619047619
16,55406.45714285714
17,56436.02857142857
18,57601.02380952381
19,57644.60476190477
20,56148.04285714286
21,51215.21428571429
22,43467.119047619046
23,34905.58571428571
