Hour,AvgPlayers
0,15440.612903225807
1,14920.801843317973
2,14682.57603686636
3,14368.087557603685
4,13655.728110599079
5,12721.87173579109
6,11646.490476190475
7,10741.571428571428
8,10201.628571428571
9,10183.314285714287
10,10693.457142857142
11,11536.7
12,12635.309523809525
13,13816.114285714286
14,14931.576190476191
15,15738.423809523809
16,16329.680952380953
17,16775.661904761906
18,17222.47619047619
19,17693.242857142857
20,17976.085714285717
21,17960.071428571428
22,17471.69523809524
23,16469.742857142857
