Hour,AvgPlayers
0,25038.769585253456
1,20816.64055299539
2,18111.16129032258
3,16062.801843317973
4,14294.981566820277
5,12842.694316436251
6,12376.190476190475
7,13840.9
8,16993.585714285713
9,21354.142857142855
10,25479.052380952384
11,28474.495238095238
12,31471.609523809522
13,34087.2
14,36589.7619047619
15,39312.428571428565
16,41850.81904761904
17,43939.25238095238
18,45870.352380952376
19,47136.95714285714
20,47018.514285714286
21,44300.20952380952
22,38313.82857142857
23,31151.39523809524
