Hour,AvgPlayers
0,48375.58986175115
1,41851.8064516129
2,37848.32258064516
3,35307.25806451613
4,32865.95391705069
5,30972.91059907834
6,28891.138095238093
7,28567.438095238096
8,31468.314285714285
9,35663.11428571429
10,41835.54285714286
11,48774.45238095238
12,55772.55714285714
13,62510.70952380952
14,67554.38095238096
15,69261.69047619047
16,69270.5380952381
17,69121.38571428572
18,76843.9238095238
19,77347.73333333334
20,73953.43333333333
21,69001.31904761905
22,63311.4
23,56229.061904761904
