Hour,AvgPlayers
0,21744.24884792627
1,22291.502304147467
2,22322.695852534565
3,21963.396313364054
4,20645.705069124426
5,18602.62365591398
6,16356.490476190475
7,14256.04761904762
8,12673.938095238094
9,11737.8
10,11573.171428571428
11,12166.842857142858
12,13223.828571428572
13,14370.638095238095
14,15497.728571428572
15,16738.27619047619
16,17823.257142857143
17,18982.77619047619
18,20319.138095238093
19,21536.39523809524
20,22202.614285714288
21,22280.05238095238
22,21938.97619047619
23,21573.414285714283
