Hour,AvgPlayers
0,22183.1935483871
1,20873.663594470047
2,19922.15668202765
3,18873.336405529953
4,17647.00921658986
5,16555.31182795699
6,15531.428571428572
7,14975.338095238094
8,15348.442857142858
9,16442.24761904762
10,18047.509523809524
11,19945.24761904762
12,21949.057142857146
13,23966.59523809524
14,25794.41904761905
15,27499.27619047619
16,29236.509523809524
17,30771.690476190477
18,31575.047619047622
19,31695.214285714283
20,31089.957142857143
21,29411.890476190478
22,26869.81904761905
23,24343.92380952381
