Hour,AvgPlayers
0,16043.718894009218
1,15512.511520737327
2,14963.262672811059
3,14107.880184331798
4,12898.695852534562
5,11539.065284178187
6,10355.776190476192
7,9629.861904761905
8,9791.0
9,10532.914285714285
10,11500.080952380953
11,12510.328571428572
12,13556.780952380952
13,14693.657142857142
14,15902.419047619047
15,17141.44761904762
16,18422.952380952378
17,19405.166666666668
18,20030.214285714283
19,20113.690476190477
20,19799.847619047618
21,18987.261904761905
22,17894.490476190476
23,16830.914285714287
