Hour,AvgPlayers
0,14309.308755760369
1,14437.032258064517
2,14517.705069124424
3,14821.460829493088
4,14853.68202764977
5,14831.21658986175
6,14730.747619047619
7,14710.161904761906
8,14961.466666666667
9,14935.361904761905
10,14646.757142857143
11,14813.561904761906
12,14956.814285714287
13,14981.285714285714
14,14896.209523809524
15,14887.009523809525
16,14773.461904761905
17,14572.857142857141
18,14424.566666666668
19,14313.861904761905
20,14509.395238095238
21,14476.414285714285
22,14428.071428571428
23,14151.166666666666
