Hour,AvgPlayers
0,99335.41474654379
1,93389.63594470045
2,93519.30414746545
3,94992.71889400922
4,98667.52534562213
5,102152.60944700461
6,107012.1619047619
7,113530.88095238096
8,121357.5380952381
9,128481.79047619046
10,138972.7
11,155067.25238095238
12,172386.33809523808
13,186073.89523809525
14,190452.32857142857
15,189175.1
16,179546.74761904762
17,169725.22380952383
18,163640.23809523808
19,158319.10476190475
20,150684.62380952382
21,138871.7142857143
22,125587.7761904762
23,110989.17142857143
