Hour,AvgPlayers
0,33111.79723502304
1,30558.465437788018
2,30179.511520737327
3,30457.294930875574
4,30535.645161290322
5,30610.843625192014
6,30346.04761904762
7,31135.147619047617
8,33304.828571428574
9,36196.74285714285
10,40200.94285714286
11,45080.40476190476
12,49691.90476190476
13,53451.428571428565
14,55260.45714285714
15,55449.62857142857
16,53985.57619047619
17,52013.00476190476
18,50855.39523809523
19,50009.47619047619
20,48849.695238095235
21,46529.77142857143
22,42551.22380952381
23,37595.31904761904
