Hour,AvgPlayers
0,67310.19354838709
1,69981.3732718894
2,74635.9262672811
3,76145.25345622121
4,74027.86175115207
5,68376.66474654379
6,60394.65714285714
7,50766.01904761905
8,42894.647619047624
9,37479.0380952381
10,37344.44761904762
11,42701.54285714286
12,50765.704761904766
13,58310.25714285715
14,61858.34761904762
15,62013.27619047619
16,60445.852380952376
17,60958.280952380956
18,64588.2619047619
19,71201.99047619048
20,76960.8238095238
21,78185.71428571429
22,76327.23809523809
23,70539.40952380953
