Hour,AvgPlayers
0,30241.451612903227
1,32183.304147465435
2,35281.299539170504
3,36509.64055299539
4,35596.096774193546
5,32098.808294930874
6,27476.91904761905
7,23566.27142857143
8,21160.438095238096
9,19365.209523809524
10,17893.95238095238
11,21399.40476190476
12,27348.561904761904
13,32450.190476190477
14,34049.804761904765
15,33565.97619047619
16,30675.652380952382
17,28833.333333333332
18,28250.77142857143
19,28708.833333333332
20,29865.58095238095
21,30452.190476190477
22,30607.704761904763
23,30338.390476190478
