Hour,AvgPlayers
0,7804.6313364055295
1,7532.921658986174
2,7306.580645161291
3,7129.552995391706
4,6955.663594470046
5,6801.754224270353
6,6569.47619047619
7,6617.542857142857
8,6820.995238095237
9,7058.42380952381
10,7291.323809523809
11,7508.595238095238
12,7722.628571428571
13,7934.8190476190475
14,8129.933333333333
15,8290.785714285714
16,8425.314285714287
17,8547.785714285714
18,8661.22380952381
19,8671.55238095238
20,8619.161904761904
21,8474.080952380953
22,8269.704761904763
23,8034.961904761904
