Hour,AvgPlayers
0,10383.42396313364
1,12123.05529953917
2,13283.225806451614
3,18250.75115207373
4,20811.20276497696
5,21108.50460829493
6,19993.166666666668
7,18819.152380952382
8,18466.09047619048
9,18918.72857142857
10,20256.638095238093
11,21322.004761904762
12,21771.09523809524
13,21864.109523809522
14,21576.561904761904
15,20261.18095238095
16,17071.119047619046
17,13733.319047619047
18,11323.028571428573
19,9721.45238095238
20,8660.390476190476
21,9140.966666666667
22,9191.219047619048
23,9233.690476190475
