Hour,AvgPlayers
0,28516.52995391705
1,27100.299539170504
2,27546.0599078341
3,27265.373271889403
4,26850.921658986175
5,26212.787250384023
6,25103.714285714283
7,23958.366666666665
8,22339.795238095237
9,19710.790476190476
10,21780.690476190477
11,25105.638095238093
12,27383.214285714283
13,29002.414285714283
14,30547.004761904762
15,31956.5
16,32341.12380952381
17,32908.07142857143
18,33355.038095238095
19,33422.166666666664
20,32824.166666666664
21,31934.042857142857
22,30961.38095238095
23,29813.77619047619
