Hour,AvgPlayers
0,372926.6082949309
1,390938.55760368664
2,411557.77880184335
3,420649.4516129032
4,413574.6912442396
5,388574.6094470046
6,342910.1666666667
7,288450.8
8,238122.0142857143
9,207873.94285714286
10,187579.55714285714
11,186769.93333333332
12,205033.71904761906
13,231390.79047619048
14,254428.3619047619
15,269145.2428571429
16,281833.73333333334
17,299028.6285714286
18,319833.5
19,344542.97142857144
20,365636.0285714286
21,376295.5571428572
22,377203.91428571433
23,372214.0333333333
