Hour,AvgPlayers
0,16756.317972350233
1,16907.612903225807
2,17230.244239631338
3,17352.83870967742
4,17407.981566820275
5,17431.96850998464
6,17455.690476190477
7,17492.766666666666
8,17544.733333333334
9,17608.147619047617
10,17810.447619047616
11,18099.890476190478
12,18373.02857142857
13,18524.45238095238
14,18546.90952380952
15,18488.071428571428
16,18354.0
17,18046.347619047618
18,17774.204761904763
19,17563.68095238095
20,17389.02380952381
21,17247.966666666667
22,17159.238095238095
23,17049.380952380954
