Hour,AvgPlayers
0,15776.248847926267
1,15679.834101382488
2,16919.88940092166
3,17910.539170506912
4,18975.705069124426
5,19475.72811059908
6,19758.17142857143
7,20503.338095238094
8,21681.457142857143
9,22856.54761904762
10,24753.285714285717
11,27551.533333333333
12,30755.947619047616
13,33027.13809523809
14,33749.07142857143
15,33307.54761904762
16,30672.40476190476
17,27352.280952380952
18,25060.757142857143
19,23579.157142857144
20,22490.961904761905
21,21112.7
22,19461.204761904763
23,17514.557142857146
