Hour,AvgPlayers
0,18236.884792626726
1,28524.350230414748
2,45938.64055299539
3,59819.976958525345
4,82410.40552995392
5,99533.47465437787
6,114401.70476190475
7,125868.4761904762
8,133734.9238095238
9,132258.66190476192
10,131963.89523809525
11,166426.0380952381
12,208077.78571428574
13,229180.31428571427
14,228291.73333333334
15,190856.96666666667
16,125659.64285714287
17,78729.50952380952
18,52539.13333333333
19,37086.852380952376
20,27978.004761904762
21,22959.452380952378
22,18975.990476190476
23,15695.495238095238
