Hour,AvgPlayers
0,22423.815668202766
1,23458.516129032258
2,24859.451612903227
3,25623.437788018437
4,25843.24884792627
5,25217.317050691243
6,25363.342857142856
7,26238.61904761905
8,26873.142857142855
9,27583.47142857143
10,29546.957142857143
11,32838.46666666667
12,36401.7619047619
13,39096.54761904762
14,39931.490476190476
15,39554.54761904762
16,37209.566666666666
17,34024.985714285714
18,31342.709523809524
19,29322.985714285714
20,27586.014285714286
21,26082.361904761907
22,24441.161904761906
23,22987.485714285714
