Hour,AvgPlayers
0,18085.414746543778
1,18887.129032258064
2,20080.373271889403
3,20599.027649769585
4,20764.967741935485
5,20717.260368663596
6,20260.280952380952
7,19528.042857142857
8,18797.509523809524
9,17989.761904761905
10,17821.985714285714
11,21375.72857142857
12,26538.657142857144
13,30781.27619047619
14,31896.314285714285
15,30853.847619047618
16,26625.238095238095
17,23187.433333333334
18,21311.204761904763
19,20624.52380952381
20,20618.97142857143
21,20415.87619047619
22,19742.985714285714
23,18656.847619047618
