Hour,AvgPlayers
0,79528.56221198157
1,84222.86635944701
2,91115.90322580645
3,96118.13364055299
4,101638.48847926267
5,104985.52880184332
6,108061.93809523809
7,109885.2238095238
8,111403.0
9,112534.80952380953
10,117981.98095238095
11,131113.72857142857
12,145917.91428571427
13,157389.46666666667
14,160404.0904761905
15,157519.9523809524
16,141924.78095238094
17,123419.6
18,109885.3238095238
19,100499.70952380954
20,94469.30952380953
21,90172.43333333333
22,86323.99047619048
23,82462.21428571429
