Hour,AvgPlayers
0,243566.43778801843
1,224553.00921658985
2,212834.42396313362
3,203854.77880184332
4,194288.10138248847
5,183901.10368663596
6,174463.6
7,167927.31904761906
8,172231.43333333332
9,184720.38095238095
10,199936.04285714283
11,215928.1523809524
12,234203.96666666667
13,252686.46666666667
14,269292.98571428575
15,282196.61904761905
16,291509.26666666666
17,297668.49523809523
18,303598.08095238096
19,308612.6
20,308693.58571428567
21,301414.5
22,288460.3095238095
23,266065.5619047619
