Hour,AvgPlayers
0,27219.58064516129
1,27412.368663594472
2,27229.294930875574
3,27156.304147465435
4,27076.90322580645
5,26787.40476190476
6,27514.80476190476
7,27965.266666666666
8,28545.638095238093
9,28713.233333333334
10,28752.447619047616
11,29128.790476190476
12,29435.747619047623
13,29705.790476190476
14,30535.323809523812
15,30456.90952380952
16,30138.157142857144
17,29734.47142857143
18,29188.457142857143
19,28994.857142857145
20,28667.266666666666
21,28304.433333333334
22,27896.62380952381
23,27583.59047619048
