Hour,AvgPlayers
0,27210.317972350233
1,27274.41935483871
2,28686.211981566823
3,29232.354838709678
4,28249.336405529953
5,25655.84178187404
6,21712.628571428573
7,17401.795238095237
8,13683.919047619047
9,11183.7
10,10699.842857142858
11,12103.261904761905
12,14390.97619047619
13,16880.757142857143
14,18979.47619047619
15,20481.738095238095
16,22113.985714285714
17,24522.9
18,28014.004761904762
19,32185.05238095238
20,34798.70952380952
21,34974.04285714286
22,33298.60476190476
23,29917.361904761907
