Hour,AvgPlayers
0,99981.17511520737
1,112040.04608294931
2,143484.0460829493
3,167312.33640552993
4,208030.84792626728
5,266140.95967741933
6,327655.0380952381
7,369069.7428571429
8,381745.9238095238
9,383027.45238095237
10,400739.5285714286
11,525310.5904761904
12,666637.7238095237
13,741923.3095238096
14,748033.8904761904
15,663149.1904761904
16,507244.26666666666
17,385668.8761904762
18,313422.9666666667
19,264626.68095238094
20,228974.18571428573
21,195257.06666666668
22,161109.72380952383
23,126089.34285714285
