Hour,AvgPlayers
0,30160.705069124426
1,29998.129032258064
2,31345.511520737327
3,31987.470046082948
4,32093.414746543778
5,31987.27188940092
6,31422.057142857146
7,30920.97142857143
8,31518.719047619044
9,32340.48095238095
10,34560.63809523809
11,38662.852380952376
12,43497.09523809524
13,47417.72857142857
14,48694.7619047619
15,48209.280952380956
16,45100.10952380952
17,41916.833333333336
18,40213.39523809523
19,39490.8619047619
20,38915.80952380952
21,37569.67142857143
22,35465.97619047619
23,32573.11904761905
