Hour,AvgPlayers
0,11623.479262672812
1,11448.89861751152
2,12015.691244239631
3,12294.843317972349
4,12107.811059907834
5,11612.817204301075
6,10611.2
7,9556.928571428572
8,8781.266666666666
9,8349.538095238097
10,8587.87619047619
11,10107.404761904761
12,12140.080952380953
13,14010.395238095238
14,14708.866666666667
15,14573.971428571427
16,13671.314285714287
17,13097.576190476191
18,13458.895238095238
19,14356.185714285713
20,14999.9
21,14982.171428571428
22,14196.695238095239
23,12810.34761904762
