Hour,AvgPlayers
0,27201.57142857143
1,25714.05069124424
2,26029.221198156683
3,26198.018433179725
4,25977.396313364054
5,25576.579109062983
6,24133.161904761906
7,22847.366666666665
8,23554.538095238095
9,25009.509523809524
10,28147.97142857143
11,31697.342857142856
12,34892.23333333333
13,37544.509523809524
14,39342.795238095234
15,39590.78571428571
16,38155.03333333333
17,36154.695238095235
18,35392.15238095238
19,35153.04761904762
20,34775.357142857145
21,33895.380952380954
22,32427.52380952381
23,29950.433333333334
