Hour,AvgPlayers
0,24432.05069124424
1,22431.20737327189
2,21174.345622119818
3,20270.451612903227
4,18839.543778801843
5,17034.264976958526
6,14150.276190476192
7,11158.176190476192
8,9125.380952380952
9,8283.04761904762
10,9145.714285714286
11,10328.914285714285
12,11789.65238095238
13,13523.561904761906
14,15470.928571428572
15,17602.509523809524
16,19929.51904761905
17,21963.719047619048
18,24331.071428571428
19,26922.714285714283
20,29042.785714285717
21,29615.214285714283
22,29519.809523809523
23,27487.685714285715
