Hour,AvgPlayers
0,126704.62211981567
1,116131.93548387097
2,107940.43778801843
3,101426.13364055299
4,96335.78341013826
5,92414.52304147465
6,90879.41904761904
7,92957.82857142857
8,98241.3380952381
9,106500.6
10,117655.2238095238
11,128722.87619047619
12,138506.00952380954
13,147942.9904761905
14,157157.64285714284
15,164509.08095238093
16,170173.58095238093
17,174412.30952380953
18,176584.48571428572
19,178368.53333333333
20,174211.5380952381
21,165054.74761904762
22,152542.16666666666
23,139219.29047619048
