Hour,AvgPlayers
0,24348.967741935485
1,22683.142857142855
2,21754.967741935485
3,21034.20276497696
4,19952.00921658986
5,18506.122119815667
6,17025.72857142857
7,15731.985714285714
8,15298.385714285714
9,16184.133333333333
10,17656.54761904762
11,19295.333333333332
12,21215.08095238095
13,23212.638095238093
14,24998.761904761905
15,26399.414285714283
16,27438.719047619048
17,28257.309523809523
18,29232.77142857143
19,30372.557142857146
20,30986.59523809524
21,30833.290476190476
22,29543.69523809524
23,27005.82857142857
