Hour,AvgPlayers
0,11887.400921658986
1,11865.069124423962
2,12293.935483870968
3,12609.811059907834
4,13216.456221198156
5,13794.606758832566
6,14426.97619047619
7,15033.038095238095
8,15597.038095238095
9,16042.20476190476
10,16992.980952380953
11,18723.761904761905
12,20679.361904761907
13,22110.571428571428
14,22493.242857142857
15,22277.709523809524
16,20816.433333333334
17,18972.82857142857
18,17577.204761904763
19,16533.119047619046
20,15682.480952380953
21,14763.495238095238
22,13780.128571428571
23,12716.938095238094
