Hour,AvgPlayers
0,58251.46543778802
1,57255.85714285714
2,58330.53917050691
3,58144.73732718894
4,55910.95391705069
5,52759.495622119815
6,48076.485714285714
7,43277.795238095234
8,39072.65238095238
9,35776.5380952381
10,35639.34285714286
11,42740.89523809523
12,53208.1380952381
13,61894.1380952381
14,64667.48095238095
15,63930.72380952381
16,60006.52857142857
17,59628.166666666664
18,62651.13333333333
19,66443.67142857143
20,68881.50476190477
21,68805.4619047619
22,66533.06666666667
23,62080.97142857143
