Hour,AvgPlayers
0,34034.290322580644
1,32910.62211981566
2,32364.788018433177
3,31516.658986175113
4,29775.677419354837
5,27513.397849462366
6,25105.571428571428
7,23102.414285714283
8,22201.89523809524
9,22196.75238095238
10,23711.214285714283
11,25564.209523809524
12,28372.338095238094
13,31432.961904761905
14,34206.63333333333
15,36057.433333333334
16,37552.5
17,38639.304761904765
18,39849.304761904765
19,40822.30952380952
20,40996.81428571429
21,40629.61428571429
22,39000.58095238095
23,36295.74761904762
