Hour,AvgPlayers
0,31907.774193548386
1,30705.525345622118
2,30094.124423963134
3,29205.870967741936
4,27615.313364055302
5,25504.957603686635
6,22823.838095238094
7,20772.871428571427
8,19427.09047619048
9,19334.81904761905
10,20430.40952380952
11,21932.280952380956
12,23964.704761904763
13,26280.142857142855
14,28541.59047619048
15,30555.61904761905
16,32236.2
17,33624.24761904762
18,34918.54285714286
19,36227.72857142857
20,36951.67619047619
21,36962.00476190476
22,36087.87619047619
23,34161.13809523809
