Hour,AvgPlayers
0,11261.90322580645
1,12301.354838709678
2,13696.52995391705
3,14453.41935483871
4,15114.820276497696
5,15165.563748079878
6,14536.804761904761
7,14028.438095238094
8,14152.804761904761
9,14223.97619047619
10,14932.45238095238
11,16119.04761904762
12,17283.72380952381
13,18384.447619047616
14,18855.390476190478
15,18681.857142857145
16,16940.033333333333
17,14525.371428571429
18,13019.4
19,12290.290476190476
20,12022.47619047619
21,11839.319047619047
22,11627.423809523809
23,11194.838095238094
