Hour,AvgPlayers
0,4194.824884792626
1,4212.437788018433
2,4269.824884792626
3,4190.235023041475
4,3868.84331797235
5,3369.81490015361
6,2495.004761904762
7,1949.242857142857
8,1527.1666666666667
9,1281.8666666666666
10,1208.452380952381
11,1271.8142857142857
12,1400.347619047619
13,1591.3095238095236
14,1883.3904761904762
15,2267.9904761904763
16,2609.309523809524
17,2990.8857142857146
18,3502.314285714286
19,3953.1619047619047
20,4303.442857142857
21,4497.828571428571
22,4527.7904761904765
23,4414.676190476191
