Hour,AvgPlayers
0,20017.20276497696
1,18040.239631336404
2,17291.225806451614
3,17070.58064516129
4,16570.917050691245
5,16169.410906298004
6,15708.904761904761
7,15106.076190476191
8,14792.995238095238
9,14613.461904761905
10,15342.590476190475
11,18645.733333333334
12,23493.061904761904
13,27698.51904761905
14,29584.961904761905
15,29603.41904761905
16,28138.57619047619
17,27058.109523809522
18,27605.133333333335
19,28760.533333333333
20,29259.52857142857
21,28634.47619047619
22,26591.27142857143
23,23416.90952380952
